team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
WO,54444,카디네스,0.253,86,361,320,33,81,15,1,7,119,42,1,2,0,3,32,2,6,67,7,0.372,0.33,4,33.3,21,0.702,0.284,0.0,3,0.57,0.755,0.73,0.524,2
WO,50304,김병휘,0.25,7,6,4,2,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0.25,0.5,0,0.0,0,0.75,0.0,0.0,0,0.5,0.521,0.556,0.5,4
WO,69332,주성원,0.25,58,174,156,21,39,6,0,1,48,12,4,0,0,1,13,0,4,45,2,0.308,0.322,2,100.0,10,0.63,0.212,0.3,4,0.51,0.66,0.634,0.532,4
WO,64340,임지열,0.244,102,417,369,51,90,14,2,11,141,50,13,6,1,3,42,0,2,111,11,0.382,0.322,4,68.4,19,0.704,0.31,0.6,19,0.61,0.79,0.741,0.651,0
WO,53312,김건희,0.242,105,344,322,24,78,20,2,3,111,25,2,1,7,2,13,0,0,102,10,0.345,0.27,5,66.7,19,0.615,0.224,0.2,3,0.53,0.783,0.644,0.524,3
WO,55326,스톤,0.241,22,93,87,4,21,0,0,2,27,15,0,0,0,1,5,0,0,24,2,0.31,0.28,1,0.0,6,0.59,0.286,1.0,0,0.52,0.558,0.55,0.5,4
WO,50167,이주형,0.24,127,514,446,55,107,22,1,11,164,45,15,1,3,0,37,2,28,115,7,0.368,0.337,1,93.8,28,0.705,0.257,0.222,16,0.61,0.876,0.804,0.627,0
WO,78756,오선진,0.238,99,163,143,15,34,8,0,1,45,19,0,0,4,1,12,0,3,45,2,0.315,0.308,4,0.0,8,0.623,0.313,0.0,0,0.51,0.766,0.7,0.5,3
WO,55392,어준서,0.238,116,360,324,48,77,9,1,6,106,27,1,0,3,1,30,1,2,75,10,0.327,0.305,29,100.0,20,0.632,0.222,0.182,1,0.56,0.831,0.767,0.508,3
WO,64346,임병욱,0.233,52,140,133,12,31,4,3,2,47,13,1,0,1,1,5,0,0,33,3,0.353,0.259,1,100.0,6,0.612,0.29,0.222,1,0.52,0.637,0.586,0.508,4
WO,64984,김태진,0.233,94,304,279,27,65,11,2,5,95,25,1,1,2,3,20,1,0,53,6,0.341,0.281,9,50.0,15,0.622,0.156,0.214,2,0.55,0.766,0.702,0.516,3
WO,55397,전태현,0.231,77,207,182,20,42,5,0,0,47,10,4,0,3,2,20,0,0,59,2,0.258,0.304,4,100.0,8,0.562,0.282,0.267,4,0.5,0.705,0.667,0.532,3
WO,50357,박주홍,0.226,102,283,248,33,56,11,3,3,82,23,11,1,2,2,30,0,1,72,5,0.331,0.31,3,91.7,12,0.641,0.219,0.182,12,0.53,0.779,0.741,0.595,3
WO,66838,김동엽,0.222,9,29,27,2,6,2,0,0,8,2,0,0,0,0,2,0,0,11,1,0.296,0.276,0,0.0,2,0.572,0.5,0.0,0,0.5,0.521,0.527,0.5,4
WO,54344,고영우,0.217,14,26,23,4,5,1,0,0,6,2,0,0,1,0,2,0,0,6,2,0.261,0.28,2,0.0,1,0.541,0.3,0.0,0,0.5,0.535,0.542,0.5,4
WO,52366,푸이그,0.212,40,172,156,17,33,2,0,6,53,20,0,0,0,0,12,0,4,38,1,0.34,0.285,2,0.0,9,0.625,0.256,0.0,0,0.56,0.606,0.59,0.5,4
WO,55339,염승원,0.211,11,21,19,2,4,0,0,0,4,1,0,0,0,1,1,0,0,6,0,0.211,0.238,0,0.0,0,0.449,0.0,0.0,0,0.5,0.526,0.528,0.5,4
WO,62332,김재현,0.208,62,128,120,12,25,5,0,0,30,5,1,0,4,0,1,0,3,31,1,0.25,0.234,4,100.0,5,0.484,0.132,0.0,1,0.5,0.657,0.573,0.508,4
WO,78135,이형종,0.2,33,82,70,4,14,3,0,2,23,6,1,0,2,0,9,0,1,22,3,0.329,0.3,0,100.0,1,0.629,0.2,0.222,1,0.52,0.583,0.585,0.508,4
WO,62925,강진성,0.182,6,13,11,1,2,0,0,0,2,1,0,0,0,0,2,0,0,1,2,0.182,0.308,0,0.0,1,0.49,0.2,0.0,0,0.5,0.515,0.535,0.5,4
WO,54394,송지후,0.175,33,86,80,5,14,3,0,1,20,8,0,1,0,1,3,0,2,18,3,0.25,0.221,2,0.0,3,0.471,0.154,0.0,1,0.51,0.58,0.554,0.508,4
WO,54307,원성준,0.174,24,53,46,5,8,1,0,2,15,4,0,0,0,0,7,0,0,18,1,0.326,0.283,0,0.0,3,0.609,0.333,0.2,0,0.52,0.555,0.561,0.5,4
WO,52305,박수종,0.143,38,45,42,6,6,0,0,1,9,2,1,0,0,0,3,0,0,12,0,0.214,0.2,1,100.0,2,0.414,0.083,0.0,1,0.51,0.585,0.554,0.508,4
